Name              Lines  Precise  Imprecise  Any  Empty  Unanalyzed
-------------------------------------------------------------------
celpy               293       76          0    4    213           0
celpy.__main__      465      164         15   42    244           0
celpy.adapter       137       35          3    9     85           5
celpy.c7nlib       1580      340         15  154   1071           0
celpy.celparser     402      207          2   23    170           0
celpy.celtypes     1495      430         17  221    788          39
celpy.evaluation   2434      824         33  172   1390          15
xlate                 0        0          0    0      0           0
xlate.c7n_to_cel   1730      374        105  145   1101           5
